Игры,Образование,Пение,Танцы,Рисование,Творчество,Физическая активность,Спецпроект / Московский театрал,unique_participant_id
0.0,0.017543859649122806,0.0,0.0,0.006369426751592357,0.021534320323014805,0.03669724770642202,0.015444015444015444,101346549
0.0,0.695906432748538,0.0,0.0,0.8789808917197452,0.3122476446837147,0.5871559633027523,0.0,101346552
0.0,0.0,0.0,0.0,0.0,0.0,0.12477064220183487,0.0,101346558
0.0,0.672514619883041,0.0,0.0,0.0,0.016150740242261104,0.43302752293577984,0.0,101346559
0.0,0.005847953216374269,0.0,0.0,0.0,0.0,0.3889908256880734,0.0,101346562
0.0,0.0935672514619883,0.0,0.0,0.0,0.10767160161507403,0.0,0.0,101346565
0.0,0.0,0.0,0.0,0.0,0.0,0.3669724770642202,0.0,101346566
0.0,0.0,0.7480916030534351,0.0,0.0,0.0,0.1981651376146789,0.0,101346567
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101346568
0.0,0.12280701754385964,0.4580152671755725,0.0,0.0,0.0,0.30825688073394497,0.0,101346574
0.0,0.0,0.0,0.0,0.0,0.0,0.5064220183486239,0.0,101346575
0.0,0.0,0.0,0.22997946611909653,0.0,0.0,0.0,0.0,101346576
0.0,0.0,0.0916030534351145,0.0,0.0,0.0,1.0788990825688074,0.0,101346579
0.0,0.0,0.0,0.6735112936344969,0.0,0.0,0.044036697247706424,0.0,101346581
0.0,0.0,0.061068702290076333,0.0,0.35031847133757965,0.0,0.0,0.0,101346582
0.0,0.23976608187134502,0.0,0.0,0.05732484076433121,0.0,0.0,0.0,101346585
0.0,0.0,0.0,0.33675564681724846,0.019108280254777073,0.0,0.1908256880733945,0.0,101346593
0.0,0.0,0.0,0.9691991786447639,0.0,0.0,0.5724770642201835,0.0,101346594
0.0,0.30994152046783624,0.0,0.0,0.0,0.11305518169582773,0.3229357798165138,0.0,101346596
0.0,2.0292397660818713,0.0,0.01642710472279261,0.0,0.3122476446837147,0.007339449541284404,0.0,101346597
0.0,0.011695906432748537,0.0,0.0,0.0,0.9098250336473755,0.014678899082568808,0.0,101346601
0.0,0.1695906432748538,0.0,0.0,0.0,0.30148048452220727,0.0,0.0,101346603
0.0,0.0,0.0,0.0,0.0,0.0,0.20550458715596331,0.0,101346604
0.0,0.13450292397660818,0.04580152671755725,0.0,0.0,0.005383580080753701,0.6238532110091743,0.0,101346605
0.0,0.0,0.0,2.726899383983573,0.0,0.0,0.0,0.0,101346610
0.0,0.0,0.0,0.0,0.0,0.0,0.1834862385321101,0.0,101346611
0.0,0.23391812865497075,0.0,1.7084188911704312,0.0,0.0,0.09541284403669725,0.0,101346612
0.0,0.47953216374269003,0.0,0.0,0.03184713375796178,1.2705248990578735,0.8440366972477065,0.0,101346613
0.0,0.0,0.0,0.0,0.0,0.0,0.8733944954128441,0.0,101346615
0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.7706422018348624,0.0,101346617
0.0,0.0,0.0,0.12320328542094457,0.0,0.18304172274562586,0.6018348623853211,0.0,101346621
0.0,0.0,0.12213740458015267,0.2546201232032854,0.0,0.016150740242261104,0.5211009174311927,0.32432432432432434,101346622
0.0,0.0,0.0,0.0,0.0,0.0,0.344954128440367,0.0,101346623
0.0,0.0,0.0,0.0,0.535031847133758,0.0,0.381651376146789,0.0,101346626
0.0,0.0,0.0,0.26283367556468173,0.0,0.0,0.6311926605504588,0.0,101346628
0.0,1.543859649122807,0.0,0.0,0.0,0.0,0.1688073394495413,0.0,101346631
0.0,0.0,0.0,0.0,0.0,0.08075370121130551,0.48440366972477067,0.0,101346632
0.0,0.03508771929824561,0.0,0.0,0.0,0.0,0.998165137614679,0.0,101346633
0.0,0.0,0.030534351145038167,0.16427104722792607,0.0,0.0,0.6385321100917432,0.0,101346635
0.0,0.005847953216374269,0.0,0.0,0.006369426751592357,0.0,0.5211009174311927,0.0,101346638
0.0,0.17543859649122806,0.0,0.0,0.0,0.0,0.1908256880733945,0.0,101346639
0.0,0.07017543859649122,0.0,0.0,0.11464968152866242,0.0,0.0,0.0,101346641
0.0,0.8070175438596491,0.0,0.0,0.0,0.2853297442799462,0.0,0.0,101346644
0.0,0.0,0.0,0.0,0.0,0.0,0.5431192660550459,0.0,101346645
0.0,0.8888888888888888,0.0,0.0,0.0,0.7106325706594886,0.0,0.0,101346647
0.0,0.0,0.0,0.0,0.0,0.0,0.3155963302752294,0.0,101346648
0.0,0.0,0.0,0.45174537987679675,0.0,0.0,0.1688073394495413,0.0,101346649
0.0,0.0,0.0,0.2546201232032854,0.0,0.0,0.08073394495412844,0.0,101346650
0.0,0.0,0.0,0.7885010266940452,0.0,0.0,0.0,0.0,101346651
0.0,0.2046783625730994,0.0,0.0,0.0,0.0,0.1688073394495413,0.0,101346654
